Modelo,Dice Inicial,Dice Final,Mejora Dice,Mejor Dice,Overfitting Dice,Loss Inicial,Loss Final,Mejora Loss,Overfitting Loss,Épocas para converger,Tiempo Total (min),Tiempo/Época (s)
DeepLabV3+,0.8040021245296185,0.8781760701766381,0.07417394564701962,0.8826225720919095,0.007183758586163935,0.2691667458185783,0.16815736775214857,0.10100937806642973,0.07391902035525015,27,11.236136563618977,22.472273127237955
TransUNet,0.78461060157189,0.866473505130181,0.08186290355829096,0.8698922166457543,0.023263032725903354,0.29737379344610065,0.189237138399711,0.10813665504638964,0.10005744139010268,28,12.918561454614004,25.837122909228007
Residual U-Net,0.714085748562446,0.8302735457053552,0.11618779714290917,0.8632840972680312,0.03272099905458947,0.39980315932860744,0.24625607809195152,0.15354708123665592,0.13316371444664038,18,53.78366006612778,107.56732013225556
U-Net++,0.7149221713726337,0.8361645478468674,0.12124237647423375,0.8535390633803147,0.025805285081960783,0.4590847950715285,0.24023384257004812,0.21885095250148037,0.12054912165799671,22,44.73045837481816,89.46091674963633
Attention U-Net,0.6716431929514959,0.8402821467472956,0.16863895379579974,0.8506584488428556,0.021432583820842566,0.48015328783255357,0.22940809165055936,0.2507451961819942,0.11567499583227966,21,52.55006006558736,105.10012013117472
U-Net Básica,0.6257736912140479,0.8332355618476868,0.20746187063363886,0.8418015700120193,0.006076661892879143,0.5081475147834191,0.2450858818796965,0.26306163290372264,0.10669549793210181,28,49.07719045480092,98.15438090960184
