Modelo,Dice Score,Dice ± std,IoU,IoU ± std,Precisión,Recall,F1-Score,Dice Mediana,Dice P25-P75,Parámetros (M)
DeepLabV3+,0.877369940260829,± 0.141,0.802195035894128,0.802 ± 0.167,0.8731654444141308,0.9182377008271958,0.8951340569914539,0.9229694367656133,0.871-0.950,20.3
Attention U-Net,0.8658325314942223,± 0.141,0.784181624421339,0.784 ± 0.170,0.8561546093197672,0.916649010432099,0.8853691677763,0.9154244137250893,0.851-0.943,31.4
U-Net Básica,0.865774914517089,± 0.138,0.7837293015579014,0.784 ± 0.171,0.8606462672655245,0.9125444502248153,0.8858353747686466,0.915425612234771,0.848-0.943,31.0
TransUNet,0.8638173655326361,± 0.162,0.7864952936375519,0.786 ± 0.187,0.8844013311913976,0.8900580189488951,0.8872201587753098,0.9193866812499116,0.863-0.948,39.9
Residual U-Net,0.8577637621230002,± 0.147,0.7733217438107927,0.773 ± 0.177,0.8631744381376859,0.8977175848227518,0.8801066978878123,0.9098276909754061,0.841-0.941,32.4
U-Net++,0.8552154562287893,± 0.156,0.7720492610845021,0.772 ± 0.186,0.8641416798456172,0.8961945337979194,0.8798757918679274,0.9117150014063746,0.843-0.943,9.0
