Modelo,Dice Inicial,Dice Final,Mejora Dice,Mejor Dice,Overfitting Dice,Loss Inicial,Loss Final,Mejora Loss,Overfitting Loss,Épocas para converger,Tiempo Total (min),Tiempo/Época (s)
DeepLabV3+,0.6119945091860635,0.8948276468685695,0.28283313768250606,0.8978873065539769,-0.005901484104691379,0.688604256936482,0.12701895194394247,0.5615853049925394,0.04312158730768022,20,3.396443847815196,6.792887695630392
TransUNet,0.5795976093837193,0.875433121408735,0.2958355120250157,0.8854882546833583,-0.007606828496569684,0.6285255551338196,0.15742723856653487,0.47109831656728474,0.0570939575096944,17,3.5799187501271565,7.9553750002825705
Attention U-Net,0.6576840281486511,0.877229128565107,0.21954510041645592,0.8833629403795514,0.011283992039043067,0.4967780453818185,0.14995424023696355,0.346823805144855,0.06400188628577577,40,19.712082509199778,23.654499011039732
U-Net Básica,0.7003350172724042,0.8719416345868792,0.17160661731447502,0.8797196064676557,0.009963687134798227,0.46821105054446627,0.1532252739582743,0.314985776586192,0.0623148142391359,38,14.998954860369365,18.748693575461704
Residual U-Net,0.7336327178137643,0.8550451568194798,0.12141243900571552,0.8764502917017255,0.02747658657228713,0.45215860860688345,0.18530961658273423,0.26684899202414925,0.09642537668137112,24,12.001780744393667,21.179613078341763
U-Net++,0.5783548525401524,0.8648114970752171,0.2864566445350647,0.8672540613583156,0.005213997509113666,0.6126921815531594,0.16774745924132212,0.4449447223118373,0.04448569705627689,17,8.374022086461386,18.60893796991419
