Modelo,Dice Score,Dice ± std,IoU,IoU ± std,Precisión,Recall,F1-Score,Dice Mediana,Dice P25-P75,Parámetros (M)
DeepLabV3+,0.8826253368304326,0.877 ± 0.123,0.7922485149823703,0.798 ± 0.157,0.8797838550347549,0.8929341664681067,0.8826248599932744,0.91958165,0.866-0.947,20.3
TransUNet,0.8698983513391935,0.875 ± 0.140,0.7790601482758155,0.799 ± 0.171,0.8865231871604919,0.8716955872682425,0.8698978882569534,0.9181272,0.874-0.946,39.9
Residual U-Net,0.8632856561587408,0.857 ± 0.166,0.7634435387758108,0.776 ± 0.187,0.8918443276331975,0.8493847296788142,0.8632851701516372,0.9099802,0.855-0.944,32.4
U-Net++,0.8535391000600961,0.859 ± 0.158,0.75224258349492,0.779 ± 0.193,0.9072412802622869,0.8225344373629644,0.8535386232229379,0.9220223,0.878-0.948,9.0
Attention U-Net,0.8506597463901227,0.859 ± 0.144,0.7469681959885818,0.775 ± 0.182,0.8885278701782227,0.8306718331116897,0.8506592787229098,0.91471934,0.861-0.943,31.4
U-Net Básica,0.8417988969729497,0.847 ± 0.175,0.7348902408893292,0.765 ± 0.202,0.8876145848861108,0.8178918453363272,0.8417984293057368,0.9177278,0.846-0.943,31.0
